Clinic,Date,Start_Time,End_Time,Total_Scheduled_Visits
Adult Medicine,2016-01-04,13:40:00.0000000,13:50:00.0000000,1
Adult Medicine,2016-01-04,13:41:00.0000000,13:56:00.0000000,1
Adult Medicine,2016-01-04,13:45:00.0000000,14:00:00.0000000,5
Adult Medicine,2016-01-04,13:49:00.0000000,14:04:00.0000000,1
Adult Medicine,2016-01-04,13:50:00.0000000,14:00:00.0000000,1
Adult Medicine,2016-01-04,13:52:00.0000000,14:07:00.0000000,1
Adult Medicine,2016-01-04,13:58:00.0000000,14:13:00.0000000,1
Adult Medicine,2016-01-04,14:00:00.0000000,14:10:00.0000000,1
Adult Medicine,2016-01-04,14:00:00.0000000,14:15:00.0000000,7
Adult Medicine,2016-01-04,14:10:00.0000000,14:15:00.0000000,1
Adult Medicine,2016-01-04,14:10:00.0000000,14:25:00.0000000,1
Adult Medicine,2016-01-04,14:15:00.0000000,14:30:00.0000000,3
Adult Medicine,2016-01-04,14:20:00.0000000,14:30:00.0000000,1
Adult Medicine,2016-01-04,14:20:00.0000000,14:35:00.0000000,2
Adult Medicine,2016-01-04,14:28:00.0000000,14:43:00.0000000,1
Adult Medicine,2016-01-04,14:30:00.0000000,14:40:00.0000000,1
Adult Medicine,2016-01-04,14:30:00.0000000,14:45:00.0000000,4
Adult Medicine,2016-01-04,14:35:00.0000000,14:50:00.0000000,1
Adult Medicine,2016-01-04,14:40:00.0000000,14:50:00.0000000,1
Adult Medicine,2016-01-04,14:45:00.0000000,15:00:00.0000000,1
Adult Medicine,2016-01-04,14:50:00.0000000,15:05:00.0000000,1
Adult Medicine,2016-01-04,15:00:00.0000000,15:10:00.0000000,1
Adult Medicine,2016-01-04,15:00:00.0000000,15:15:00.0000000,5
Adult Medicine,2016-01-04,15:10:00.0000000,15:20:00.0000000,1
Adult Medicine,2016-01-04,15:15:00.0000000,15:30:00.0000000,2
Adult Medicine,2016-01-04,15:20:00.0000000,15:35:00.0000000,1
Adult Medicine,2016-01-04,15:23:00.0000000,15:38:00.0000000,1
Adult Medicine,2016-01-04,15:30:00.0000000,15:45:00.0000000,7
Adult Medicine,2016-01-04,15:45:00.0000000,16:00:00.0000000,1
Adult Medicine,2016-01-04,16:00:00.0000000,16:15:00.0000000,5
Adult Medicine,2016-01-04,16:15:00.0000000,16:30:00.0000000,2
Adult Medicine,2016-01-04,16:30:00.0000000,16:45:00.0000000,2
Adult Medicine,2016-01-04,16:45:00.0000000,17:00:00.0000000,3
Adult Medicine,2016-01-04,17:00:00.0000000,17:15:00.0000000,5
Adult Medicine,2016-01-04,17:15:00.0000000,17:30:00.0000000,6
Adult Medicine,2016-01-04,17:30:00.0000000,17:45:00.0000000,4
Adult Medicine,2016-01-04,17:45:00.0000000,18:00:00.0000000,3
Adult Medicine,2016-01-04,18:00:00.0000000,18:15:00.0000000,5
Adult Medicine,2016-01-04,18:00:00.0000000,18:30:00.0000000,1
Adult Medicine,2016-01-04,18:15:00.0000000,18:30:00.0000000,1
Adult Medicine,2016-01-04,18:30:00.0000000,18:45:00.0000000,1
Adult Medicine,2016-01-05,09:00:00.0000000,09:15:00.0000000,5
Adult Medicine,2016-01-05,09:00:00.0000000,09:45:00.0000000,1
Adult Medicine,2016-01-05,09:15:00.0000000,09:30:00.0000000,2
Adult Medicine,2016-01-05,09:30:00.0000000,09:45:00.0000000,6
Adult Medicine,2016-01-05,09:30:00.0000000,10:00:00.0000000,1
Adult Medicine,2016-01-05,09:45:00.0000000,10:00:00.0000000,8
Adult Medicine,2016-01-05,10:00:00.0000000,10:15:00.0000000,5
Adult Medicine,2016-01-05,10:00:00.0000000,10:30:00.0000000,1
Adult Medicine,2016-01-05,10:04:00.0000000,10:19:00.0000000,1
Adult Medicine,2016-01-05,10:12:00.0000000,10:27:00.0000000,1
Adult Medicine,2016-01-05,10:15:00.0000000,10:30:00.0000000,6
Adult Medicine,2016-01-05,10:22:00.0000000,10:37:00.0000000,1
Adult Medicine,2016-01-05,10:30:00.0000000,10:45:00.0000000,4
Adult Medicine,2016-01-05,10:30:00.0000000,11:00:00.0000000,1
Adult Medicine,2016-01-05,10:40:00.0000000,10:55:00.0000000,1
Adult Medicine,2016-01-05,10:45:00.0000000,11:00:00.0000000,4
Adult Medicine,2016-01-05,10:58:00.0000000,11:13:00.0000000,1
Adult Medicine,2016-01-05,11:00:00.0000000,11:15:00.0000000,5
Adult Medicine,2016-01-05,11:02:00.0000000,11:17:00.0000000,1
Adult Medicine,2016-01-05,11:15:00.0000000,11:30:00.0000000,6
Adult Medicine,2016-01-05,11:30:00.0000000,11:45:00.0000000,7
Adult Medicine,2016-01-05,11:36:00.0000000,11:51:00.0000000,1
Adult Medicine,2016-01-05,11:41:00.0000000,11:56:00.0000000,1
Adult Medicine,2016-01-05,11:53:00.0000000,12:08:00.0000000,1
Adult Medicine,2016-01-05,12:15:00.0000000,12:30:00.0000000,1
Adult Medicine,2016-01-05,12:40:00.0000000,12:55:00.0000000,1
Adult Medicine,2016-01-05,12:50:00.0000000,13:05:00.0000000,1
Adult Medicine,2016-01-05,13:00:00.0000000,13:15:00.0000000,6
Adult Medicine,2016-01-05,13:10:00.0000000,13:25:00.0000000,1
Adult Medicine,2016-01-05,13:20:00.0000000,13:35:00.0000000,1
Adult Medicine,2016-01-05,13:30:00.0000000,13:45:00.0000000,5
Adult Medicine,2016-01-05,13:38:00.0000000,13:53:00.0000000,1
Adult Medicine,2016-01-05,13:40:00.0000000,13:55:00.0000000,1
Adult Medicine,2016-01-05,13:45:00.0000000,14:00:00.0000000,7
Adult Medicine,2016-01-05,14:00:00.0000000,14:10:00.0000000,2
Adult Medicine,2016-01-05,14:00:00.0000000,14:15:00.0000000,6
Adult Medicine,2016-01-05,14:00:00.0000000,15:00:00.0000000,1
Adult Medicine,2016-01-05,14:04:00.0000000,14:19:00.0000000,1
Adult Medicine,2016-01-05,14:15:00.0000000,14:30:00.0000000,5
Adult Medicine,2016-01-05,14:30:00.0000000,14:45:00.0000000,9
Adult Medicine,2016-01-05,14:45:00.0000000,15:00:00.0000000,2
Adult Medicine,2016-01-05,14:51:00.0000000,15:06:00.0000000,1
Adult Medicine,2016-01-05,15:00:00.0000000,15:15:00.0000000,9
Adult Medicine,2016-01-05,15:15:00.0000000,15:30:00.0000000,3
Adult Medicine,2016-01-05,15:30:00.0000000,15:45:00.0000000,4
Adult Medicine,2016-01-05,15:45:00.0000000,16:00:00.0000000,1
Adult Medicine,2016-01-05,16:00:00.0000000,16:15:00.0000000,1
Adult Medicine,2016-01-05,16:00:00.0000000,16:30:00.0000000,1
Adult Medicine,2016-01-05,16:05:00.0000000,16:20:00.0000000,1
Adult Medicine,2016-01-05,16:30:00.0000000,17:00:00.0000000,1
Adult Medicine,2016-01-05,17:00:00.0000000,17:15:00.0000000,5
Adult Medicine,2016-01-05,17:15:00.0000000,17:30:00.0000000,1
Adult Medicine,2016-01-05,17:20:00.0000000,17:35:00.0000000,1
Adult Medicine,2016-01-05,17:30:00.0000000,17:45:00.0000000,1
Adult Medicine,2016-01-05,17:35:00.0000000,17:50:00.0000000,2
Adult Medicine,2016-01-05,17:45:00.0000000,18:00:00.0000000,3
Adult Medicine,2016-01-05,18:00:00.0000000,18:15:00.0000000,3
Adult Medicine,2016-01-05,18:15:00.0000000,18:30:00.0000000,1
Adult Medicine,2016-01-05,18:30:00.0000000,18:45:00.0000000,1
Adult Medicine,2016-01-06,09:00:00.0000000,09:15:00.0000000,5
Adult Medicine,2016-01-06,09:10:00.0000000,09:25:00.0000000,1
Adult Medicine,2016-01-06,09:15:00.0000000,09:30:00.0000000,3
Adult Medicine,2016-01-06,09:25:00.0000000,09:40:00.0000000,1
Adult Medicine,2016-01-06,09:30:00.0000000,09:45:00.0000000,4
Adult Medicine,2016-01-06,09:35:00.0000000,09:50:00.0000000,2
Adult Medicine,2016-01-06,09:40:00.0000000,09:55:00.0000000,1
Adult Medicine,2016-01-06,09:45:00.0000000,10:00:00.0000000,6
Adult Medicine,2016-01-06,09:50:00.0000000,10:05:00.0000000,2
Adult Medicine,2016-01-06,09:55:00.0000000,10:10:00.0000000,2
Adult Medicine,2016-01-06,10:00:00.0000000,10:15:00.0000000,7
Adult Medicine,2016-01-06,10:05:00.0000000,10:20:00.0000000,1
Adult Medicine,2016-01-06,10:08:00.0000000,10:23:00.0000000,1
Adult Medicine,2016-01-06,10:10:00.0000000,10:25:00.0000000,1
Adult Medicine,2016-01-06,10:15:00.0000000,10:30:00.0000000,3
Adult Medicine,2016-01-06,10:25:00.0000000,10:40:00.0000000,1
Adult Medicine,2016-01-06,10:30:00.0000000,10:40:00.0000000,2
Adult Medicine,2016-01-06,10:30:00.0000000,10:45:00.0000000,10
Adult Medicine,2016-01-06,10:31:00.0000000,10:46:00.0000000,1
Adult Medicine,2016-01-06,10:35:00.0000000,10:50:00.0000000,1
Adult Medicine,2016-01-06,10:37:00.0000000,10:52:00.0000000,1
Adult Medicine,2016-01-06,10:45:00.0000000,11:00:00.0000000,5
Adult Medicine,2016-01-06,10:55:00.0000000,11:10:00.0000000,1
Adult Medicine,2016-01-06,11:00:00.0000000,11:15:00.0000000,6
Adult Medicine,2016-01-06,11:05:00.0000000,11:20:00.0000000,1
Adult Medicine,2016-01-06,11:10:00.0000000,11:25:00.0000000,2
Adult Medicine,2016-01-06,11:15:00.0000000,11:30:00.0000000,4
Adult Medicine,2016-01-06,11:20:00.0000000,11:30:00.0000000,1
Adult Medicine,2016-01-06,11:30:00.0000000,11:40:00.0000000,1
Adult Medicine,2016-01-06,11:30:00.0000000,11:45:00.0000000,4
Adult Medicine,2016-01-06,11:45:00.0000000,12:00:00.0000000,1
Adult Medicine,2016-01-06,11:55:00.0000000,12:10:00.0000000,1
Adult Medicine,2016-01-06,12:00:00.0000000,12:15:00.0000000,1
Adult Medicine,2016-01-06,12:05:00.0000000,12:15:00.0000000,1
Adult Medicine,2016-01-06,12:15:00.0000000,12:30:00.0000000,1
Adult Medicine,2016-01-06,12:25:00.0000000,12:35:00.0000000,1
Adult Medicine,2016-01-06,12:30:00.0000000,12:45:00.0000000,1
Adult Medicine,2016-01-06,12:40:00.0000000,12:50:00.0000000,1
Adult Medicine,2016-01-06,12:50:00.0000000,13:05:00.0000000,1
Adult Medicine,2016-01-06,12:59:00.0000000,13:14:00.0000000,1
Adult Medicine,2016-01-06,13:00:00.0000000,13:15:00.0000000,9
Adult Medicine,2016-01-06,13:00:00.0000000,13:30:00.0000000,1
Adult Medicine,2016-01-06,13:15:00.0000000,13:30:00.0000000,4
Adult Medicine,2016-01-06,13:23:00.0000000,13:38:00.0000000,1
Adult Medicine,2016-01-06,13:30:00.0000000,13:45:00.0000000,6
Adult Medicine,2016-01-06,13:37:00.0000000,13:52:00.0000000,1
Adult Medicine,2016-01-06,13:40:00.0000000,13:55:00.0000000,3
Adult Medicine,2016-01-06,13:45:00.0000000,14:00:00.0000000,5
Adult Medicine,2016-01-06,13:50:00.0000000,14:05:00.0000000,1
Adult Medicine,2016-01-06,13:55:00.0000000,14:10:00.0000000,3
Adult Medicine,2016-01-06,13:56:00.0000000,14:11:00.0000000,1
Adult Medicine,2016-01-06,14:00:00.0000000,14:15:00.0000000,9
Adult Medicine,2016-01-06,14:10:00.0000000,14:20:00.0000000,1
Adult Medicine,2016-01-06,14:10:00.0000000,14:25:00.0000000,2
Adult Medicine,2016-01-06,14:15:00.0000000,14:30:00.0000000,1
Adult Medicine,2016-01-06,14:20:00.0000000,14:30:00.0000000,1
Adult Medicine,2016-01-06,14:20:00.0000000,14:35:00.0000000,1
Adult Medicine,2016-01-06,14:30:00.0000000,14:45:00.0000000,7
Adult Medicine,2016-01-06,14:40:00.0000000,14:55:00.0000000,2
Adult Medicine,2016-01-06,14:45:00.0000000,15:00:00.0000000,2
Adult Medicine,2016-01-06,15:00:00.0000000,15:10:00.0000000,1
Adult Medicine,2016-01-06,15:00:00.0000000,15:15:00.0000000,5
Adult Medicine,2016-01-06,15:00:00.0000000,15:20:00.0000000,1
Adult Medicine,2016-01-06,15:15:00.0000000,15:30:00.0000000,5
Adult Medicine,2016-01-06,15:20:00.0000000,15:40:00.0000000,1
Adult Medicine,2016-01-06,15:30:00.0000000,15:45:00.0000000,3
Adult Medicine,2016-01-06,16:00:00.0000000,16:15:00.0000000,2
Adult Medicine,2016-01-06,16:00:00.0000000,16:45:00.0000000,2
Adult Medicine,2016-01-06,16:15:00.0000000,16:30:00.0000000,2
Adult Medicine,2016-01-06,16:30:00.0000000,16:45:00.0000000,5
Adult Medicine,2016-01-06,16:40:00.0000000,16:55:00.0000000,1
Adult Medicine,2016-01-06,16:45:00.0000000,17:00:00.0000000,5
Adult Medicine,2016-01-06,17:00:00.0000000,17:15:00.0000000,15
Adult Medicine,2016-01-06,17:10:00.0000000,17:25:00.0000000,1
Adult Medicine,2016-01-06,17:15:00.0000000,17:30:00.0000000,4
Adult Medicine,2016-01-06,17:30:00.0000000,17:45:00.0000000,6
Adult Medicine,2016-01-06,17:30:00.0000000,18:30:00.0000000,1
Adult Medicine,2016-01-06,17:37:00.0000000,17:52:00.0000000,1
Adult Medicine,2016-01-06,17:45:00.0000000,18:00:00.0000000,5
Adult Medicine,2016-01-06,18:00:00.0000000,18:15:00.0000000,9
Adult Medicine,2016-01-06,18:15:00.0000000,18:30:00.0000000,2
Adult Medicine,2016-01-07,09:00:00.0000000,09:15:00.0000000,12
Adult Medicine,2016-01-07,09:00:00.0000000,09:30:00.0000000,1
Adult Medicine,2016-01-07,09:05:00.0000000,09:20:00.0000000,1
Adult Medicine,2016-01-07,09:15:00.0000000,09:30:00.0000000,3
Adult Medicine,2016-01-07,09:30:00.0000000,09:45:00.0000000,5
Adult Medicine,2016-01-07,09:40:00.0000000,09:55:00.0000000,1
Adult Medicine,2016-01-07,09:45:00.0000000,10:00:00.0000000,10
Adult Medicine,2016-01-07,10:00:00.0000000,10:15:00.0000000,11
Adult Medicine,2016-01-07,10:06:00.0000000,10:21:00.0000000,1
Adult Medicine,2016-01-07,10:08:00.0000000,10:23:00.0000000,1
Adult Medicine,2016-01-07,10:15:00.0000000,10:25:00.0000000,1
Adult Medicine,2016-01-07,10:15:00.0000000,10:30:00.0000000,6
Adult Medicine,2016-01-07,10:20:00.0000000,10:35:00.0000000,1
Adult Medicine,2016-01-07,10:30:00.0000000,10:45:00.0000000,10
Adult Medicine,2016-01-07,10:35:00.0000000,10:50:00.0000000,3
Adult Medicine,2016-01-07,10:40:00.0000000,10:55:00.0000000,1
Adult Medicine,2016-01-07,10:45:00.0000000,11:00:00.0000000,3
Adult Medicine,2016-01-07,10:50:00.0000000,11:05:00.0000000,1
Adult Medicine,2016-01-07,11:00:00.0000000,11:10:00.0000000,1
Adult Medicine,2016-01-07,11:00:00.0000000,11:15:00.0000000,8
Adult Medicine,2016-01-07,11:03:00.0000000,11:18:00.0000000,1
Adult Medicine,2016-01-07,11:15:00.0000000,11:30:00.0000000,10
Adult Medicine,2016-01-07,11:30:00.0000000,11:45:00.0000000,10
Adult Medicine,2016-01-07,12:00:00.0000000,12:15:00.0000000,1
Adult Medicine,2016-01-07,12:15:00.0000000,12:30:00.0000000,1
Adult Medicine,2016-01-07,13:00:00.0000000,13:15:00.0000000,8
Adult Medicine,2016-01-07,13:10:00.0000000,13:25:00.0000000,1
Adult Medicine,2016-01-07,13:15:00.0000000,13:25:00.0000000,1
Adult Medicine,2016-01-07,13:15:00.0000000,13:30:00.0000000,1
Adult Medicine,2016-01-07,13:22:00.0000000,13:37:00.0000000,1
Adult Medicine,2016-01-07,13:30:00.0000000,13:45:00.0000000,4
Adult Medicine,2016-01-07,13:40:00.0000000,13:50:00.0000000,1
Adult Medicine,2016-01-07,13:45:00.0000000,14:00:00.0000000,4
Adult Medicine,2016-01-07,13:45:00.0000000,14:30:00.0000000,1
Adult Medicine,2016-01-07,13:50:00.0000000,14:00:00.0000000,1
Adult Medicine,2016-01-07,13:58:00.0000000,14:13:00.0000000,1
Adult Medicine,2016-01-07,14:00:00.0000000,14:10:00.0000000,1
Adult Medicine,2016-01-07,14:00:00.0000000,14:15:00.0000000,5
Adult Medicine,2016-01-07,14:15:00.0000000,14:30:00.0000000,1
Adult Medicine,2016-01-07,14:18:00.0000000,14:33:00.0000000,1
Adult Medicine,2016-01-07,14:30:00.0000000,14:40:00.0000000,1
Adult Medicine,2016-01-07,14:30:00.0000000,14:45:00.0000000,4
Adult Medicine,2016-01-07,14:40:00.0000000,14:55:00.0000000,1
Adult Medicine,2016-01-07,14:45:00.0000000,15:00:00.0000000,2
Adult Medicine,2016-01-07,14:50:00.0000000,15:05:00.0000000,1
Adult Medicine,2016-01-07,15:00:00.0000000,15:15:00.0000000,4
Adult Medicine,2016-01-07,15:15:00.0000000,15:30:00.0000000,1
Adult Medicine,2016-01-07,15:20:00.0000000,15:35:00.0000000,1
Adult Medicine,2016-01-07,15:30:00.0000000,15:45:00.0000000,2
Adult Medicine,2016-01-07,15:30:00.0000000,16:00:00.0000000,1
Adult Medicine,2016-01-07,15:45:00.0000000,16:00:00.0000000,1
Adult Medicine,2016-01-07,16:00:00.0000000,16:15:00.0000000,2
Adult Medicine,2016-01-07,16:15:00.0000000,16:30:00.0000000,1
Adult Medicine,2016-01-07,16:40:00.0000000,16:55:00.0000000,1
Adult Medicine,2016-01-07,16:45:00.0000000,17:00:00.0000000,3
Adult Medicine,2016-01-07,16:47:00.0000000,17:02:00.0000000,1
Adult Medicine,2016-01-07,17:00:00.0000000,17:15:00.0000000,4
Adult Medicine,2016-01-07,17:00:00.0000000,17:45:00.0000000,1
Adult Medicine,2016-01-07,17:15:00.0000000,17:30:00.0000000,2
Adult Medicine,2016-01-07,17:30:00.0000000,17:45:00.0000000,2
Adult Medicine,2016-01-07,17:37:00.0000000,17:52:00.0000000,1
Adult Medicine,2016-01-07,17:45:00.0000000,18:00:00.0000000,2
Adult Medicine,2016-01-07,18:00:00.0000000,18:15:00.0000000,2
Adult Medicine,2016-01-07,18:15:00.0000000,18:30:00.0000000,1
Adult Medicine,2016-01-07,18:30:00.0000000,18:45:00.0000000,1
Adult Medicine,2016-01-08,08:40:00.0000000,08:55:00.0000000,1
Adult Medicine,2016-01-08,08:50:00.0000000,09:00:00.0000000,1
Adult Medicine,2016-01-08,09:00:00.0000000,09:15:00.0000000,10
Adult Medicine,2016-01-08,09:00:00.0000000,09:20:00.0000000,1
Adult Medicine,2016-01-08,09:00:00.0000000,09:30:00.0000000,1
Adult Medicine,2016-01-08,09:10:00.0000000,09:25:00.0000000,1
Adult Medicine,2016-01-08,09:15:00.0000000,09:25:00.0000000,1
Adult Medicine,2016-01-08,09:15:00.0000000,09:30:00.0000000,2
Adult Medicine,2016-01-08,09:20:00.0000000,09:35:00.0000000,1
Adult Medicine,2016-01-08,09:30:00.0000000,09:40:00.0000000,2
Adult Medicine,2016-01-08,09:30:00.0000000,09:45:00.0000000,8
Adult Medicine,2016-01-08,09:31:00.0000000,09:46:00.0000000,1
Adult Medicine,2016-01-08,09:34:00.0000000,09:49:00.0000000,1
Adult Medicine,2016-01-08,09:40:00.0000000,09:55:00.0000000,1
Adult Medicine,2016-01-08,09:45:00.0000000,09:55:00.0000000,1
Adult Medicine,2016-01-08,09:45:00.0000000,10:00:00.0000000,8
Adult Medicine,2016-01-08,09:50:00.0000000,10:00:00.0000000,1
Adult Medicine,2016-01-08,09:50:00.0000000,10:05:00.0000000,1
Adult Medicine,2016-01-08,09:58:00.0000000,10:13:00.0000000,1
Adult Medicine,2016-01-08,10:00:00.0000000,10:10:00.0000000,3
Adult Medicine,2016-01-08,10:00:00.0000000,10:15:00.0000000,10
Adult Medicine,2016-01-08,10:04:00.0000000,10:19:00.0000000,1
Adult Medicine,2016-01-08,10:10:00.0000000,10:25:00.0000000,1
Adult Medicine,2016-01-08,10:10:00.0000000,10:30:00.0000000,1
Adult Medicine,2016-01-08,10:12:00.0000000,10:27:00.0000000,1
Adult Medicine,2016-01-08,10:15:00.0000000,10:30:00.0000000,5
Adult Medicine,2016-01-08,10:20:00.0000000,10:35:00.0000000,1
Adult Medicine,2016-01-08,10:25:00.0000000,10:35:00.0000000,1
Adult Medicine,2016-01-08,10:26:00.0000000,10:41:00.0000000,1
Adult Medicine,2016-01-08,10:30:00.0000000,10:45:00.0000000,10
Adult Medicine,2016-01-08,10:35:00.0000000,10:50:00.0000000,1
Adult Medicine,2016-01-08,10:45:00.0000000,10:55:00.0000000,1
Adult Medicine,2016-01-08,10:45:00.0000000,11:00:00.0000000,4
Adult Medicine,2016-01-08,10:47:00.0000000,11:02:00.0000000,1
Adult Medicine,2016-01-08,10:50:00.0000000,11:05:00.0000000,2
Adult Medicine,2016-01-08,11:00:00.0000000,11:10:00.0000000,1
Adult Medicine,2016-01-08,11:00:00.0000000,11:15:00.0000000,7
Adult Medicine,2016-01-08,11:10:00.0000000,11:25:00.0000000,2
Adult Medicine,2016-01-08,11:15:00.0000000,11:30:00.0000000,6
Adult Medicine,2016-01-08,11:20:00.0000000,11:30:00.0000000,1
Adult Medicine,2016-01-08,11:20:00.0000000,11:35:00.0000000,1
Adult Medicine,2016-01-08,11:27:00.0000000,11:42:00.0000000,1
Adult Medicine,2016-01-08,11:30:00.0000000,11:40:00.0000000,1
Adult Medicine,2016-01-08,11:30:00.0000000,11:45:00.0000000,6
Adult Medicine,2016-01-08,11:30:00.0000000,12:00:00.0000000,1
Adult Medicine,2016-01-08,11:40:00.0000000,11:55:00.0000000,1
Adult Medicine,2016-01-08,11:45:00.0000000,12:00:00.0000000,1
Adult Medicine,2016-01-08,11:55:00.0000000,12:10:00.0000000,1
Adult Medicine,2016-01-08,12:05:00.0000000,12:20:00.0000000,1
Adult Medicine,2016-01-08,12:15:00.0000000,12:30:00.0000000,1
Adult Medicine,2016-01-08,13:00:00.0000000,13:15:00.0000000,7
Adult Medicine,2016-01-08,13:30:00.0000000,13:45:00.0000000,2
Adult Medicine,2016-01-08,13:30:00.0000000,14:00:00.0000000,1
Adult Medicine,2016-01-08,13:45:00.0000000,14:00:00.0000000,1
Adult Medicine,2016-01-08,14:00:00.0000000,14:15:00.0000000,4
Adult Medicine,2016-01-08,14:00:00.0000000,14:30:00.0000000,2
Adult Medicine,2016-01-08,14:30:00.0000000,14:45:00.0000000,3
Adult Medicine,2016-01-08,14:38:00.0000000,14:53:00.0000000,1
Adult Medicine,2016-01-08,15:00:00.0000000,15:15:00.0000000,4
Adult Medicine,2016-01-08,15:00:00.0000000,15:30:00.0000000,1
Adult Medicine,2016-01-08,15:10:00.0000000,15:25:00.0000000,1
Adult Medicine,2016-01-08,15:15:00.0000000,15:30:00.0000000,2
Adult Medicine,2016-01-08,15:20:00.0000000,15:35:00.0000000,1
Adult Medicine,2016-01-08,15:30:00.0000000,15:45:00.0000000,2
Adult Medicine,2016-01-08,15:30:00.0000000,16:00:00.0000000,1
Adult Medicine,2016-01-08,16:00:00.0000000,16:15:00.0000000,1
Adult Medicine,2016-01-08,16:12:00.0000000,16:27:00.0000000,1
Adult Medicine,2016-01-11,09:00:00.0000000,09:15:00.0000000,12
Adult Medicine,2016-01-11,09:00:00.0000000,09:30:00.0000000,1
Adult Medicine,2016-01-11,09:10:00.0000000,09:25:00.0000000,1
Adult Medicine,2016-01-11,09:15:00.0000000,09:30:00.0000000,3
Adult Medicine,2016-01-11,09:20:00.0000000,09:35:00.0000000,1
Adult Medicine,2016-01-11,09:20:00.0000000,09:40:00.0000000,1
Adult Medicine,2016-01-11,09:30:00.0000000,09:40:00.0000000,1
Adult Medicine,2016-01-11,09:30:00.0000000,09:45:00.0000000,7
Adult Medicine,2016-01-11,09:35:00.0000000,09:50:00.0000000,1
Adult Medicine,2016-01-11,09:40:00.0000000,09:55:00.0000000,2
Adult Medicine,2016-01-11,09:45:00.0000000,10:00:00.0000000,10
Adult Medicine,2016-01-11,10:00:00.0000000,10:15:00.0000000,11
Adult Medicine,2016-01-11,10:10:00.0000000,10:25:00.0000000,1
Adult Medicine,2016-01-11,10:12:00.0000000,10:27:00.0000000,1
Adult Medicine,2016-01-11,10:15:00.0000000,10:30:00.0000000,4
Adult Medicine,2016-01-11,10:20:00.0000000,10:35:00.0000000,1
Adult Medicine,2016-01-11,10:30:00.0000000,10:45:00.0000000,11
Adult Medicine,2016-01-11,10:30:00.0000000,11:00:00.0000000,1
Adult Medicine,2016-01-11,10:40:00.0000000,10:55:00.0000000,1
Adult Medicine,2016-01-11,10:45:00.0000000,11:00:00.0000000,3
Adult Medicine,2016-01-11,10:50:00.0000000,11:05:00.0000000,1
Adult Medicine,2016-01-11,11:00:00.0000000,11:15:00.0000000,14
Adult Medicine,2016-01-11,11:10:00.0000000,11:25:00.0000000,1
Adult Medicine,2016-01-11,11:15:00.0000000,11:30:00.0000000,11
